last_name, first_name,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Márquez, Germán,608566,2020,246,7.2,32.9,111,88.8,92.7,86.7,445,149,405,99,40.2,12,4.9,3.5
Hendricks, Kyle,543294,2020,242,11,34.3,110.8,86.1,90.9,82.6,450,154,407,77,32,11,4.5,3.5
Senzatela, Antonio,622608,2020,240,9.1,27.9,111.9,88.3,92.5,85.8,447,149,399,92,38.3,13,5.4,4.3
Freeland, Kyle,607536,2020,232,7.4,31.9,115.7,87.3,91.9,84,451,146,411,83,35.8,13,5.6,4.3
Civale, Aaron,650644,2020,224,10.4,36.6,108.6,87.1,91.3,83.4,426,166,398,75,33.5,15,6.7,4.8
Lynn, Lance,458681,2020,224,17.5,34.4,113.4,88.6,91,87.9,445,178,401,84,37.5,12,5.4,3.5
Corbin, Patrick,571578,2020,217,11.9,32.3,114.8,90.7,93.8,89.1,453,164,394,96,44.2,14,6.5,4.7
Wheeler, Zack,554430,2020,212,3.8,30.7,115.6,85.7,92,83.1,426,126,385,72,34,8,3.8,2.8
Gibson, Kyle,502043,2020,207,6.2,33.3,112.9,88.2,92.1,86.2,453,143,419,82,39.6,15,7.2,5
Lyles, Jordan,543475,2020,205,14.5,28.8,112.5,89.6,93.9,86.6,464,176,411,86,42,16,7.8,6
Lester, Jon,452657,2020,203,11.9,34,112.5,88.9,93.1,86,443,169,403,79,38.9,25,12.3,9.4
Gonzales, Marco,594835,2020,202,17.6,36.6,112,86.6,92.3,81.5,425,178,385,69,34.3,17,8.4,6.1
Fiers, Mike,571666,2020,200,20.3,33.5,108.4,88.6,93.1,84.8,429,176,399,67,33.5,15,7.5,5.8
Keuchel, Dallas,572971,2020,198,5.6,34.3,114.9,86.8,92.5,83.9,426,134,417,62,31.3,8,4,3.1
Greinke, Zack,425844,2020,196,11.7,34.7,115.9,86.8,91.9,82.9,413,166,391,69,35.2,16,8.2,5.9
Davies, Zach,605200,2020,194,14.6,35.6,111.3,87.5,91.8,84.9,468,165,418,71,36.6,20,10.3,7.2
Cueto, Johnny,456501,2020,192,13,34.4,113.1,87.9,91.5,84.3,447,172,417,65,33.9,11,5.7,4
